,site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
1522,elbe-river_bunthaus_v0.3,2023-01-02,2023-01-02 12:00:00,53.461787,10.064451,0.39,0.7,3.96,6.875,5.05,13.546223388743073,0.6638255667361058,5.05,13.546223388743073,0.6638255667361058,0.39,0.7,3.96
1523,elbe-river_bunthaus_v0.3,2023-01-03,2023-01-03 12:00:00,53.461787,10.064451,1.73,0.86,4.079999999999999,6.701666666666667,6.67,21.510158452415663,0.5090561289042538,6.67,21.510158452415663,0.5090561289042538,1.73,0.86,4.079999999999999
1524,elbe-river_bunthaus_v0.3,2023-01-04,2023-01-04 12:00:00,53.461787,10.064451,1.57,1.06,3.98,6.400000000000001,6.61,25.54680664916885,0.4838670052943686,6.61,25.54680664916885,0.4838670052943686,1.57,1.06,3.98
1525,elbe-river_bunthaus_v0.3,2023-01-06,2023-01-06 12:00:00,53.461787,10.064451,2.65,1.53,2.54,6.8,6.72,38.429571303587046,0.4640193533777141,6.72,38.429571303587046,0.4640193533777141,2.65,1.53,2.54
1526,elbe-river_bunthaus_v0.3,2023-01-07,2023-01-07 12:00:00,53.461787,10.064451,0.46,0.77,4.5,6.859999999999999,5.73,27.28200641586468,0.5220141331670283,5.73,27.28200641586468,0.5220141331670283,0.46,0.77,4.5
1527,elbe-river_bunthaus_v0.3,2023-01-08,2023-01-08 12:00:00,53.461787,10.064451,0.19,0.45,2.94,6.931666666666666,3.58,27.568776125206565,0.5398064639753849,3.58,27.568776125206565,0.5398064639753849,0.19,0.45,2.94
1528,elbe-river_bunthaus_v0.3,2023-01-09,2023-01-09 12:00:00,53.461787,10.064451,0.62,0.55,3.5700000000000003,6.788333333333334,4.74,22.618353261397875,0.5714330813179445,4.74,22.618353261397875,0.5714330813179445,0.62,0.55,3.5700000000000003
1529,elbe-river_bunthaus_v0.3,2023-01-10,2023-01-10 12:00:00,53.461787,10.064451,0.0,0.4,2.41,6.64,2.81,20.49431321084864,0.5882297276436715,2.81,20.49431321084864,0.5882297276436715,0.0,0.4,2.41
1530,elbe-river_bunthaus_v0.3,2023-01-11,2023-01-11 12:00:00,53.461787,10.064451,0.0,0.64,3.4,6.599999999999999,4.04,19.398269660736847,0.5961853425970659,4.04,19.398269660736847,0.5961853425970659,0.0,0.64,3.4
1531,elbe-river_bunthaus_v0.3,2023-01-12,2023-01-12 12:00:00,53.461787,10.064451,0.1326188679245283,0.5837972508591064,1.9151379039824588,6.486666666666667,2.6315540227660934,18.552542043355693,0.6033072931580639,2.6315540227660934,18.552542043355693,0.6033072931580639,0.1326188679245283,0.5837972508591064,1.9151379039824588
1532,elbe-river_bunthaus_v0.3,2023-01-13,2023-01-13 12:00:00,53.461787,10.064451,0.14,0.89,3.2000000000000006,6.733333333333334,4.23,18.613298337707786,0.6094271094951906,4.23,18.613298337707786,0.6094271094951906,0.14,0.89,3.2000000000000006
1533,elbe-river_bunthaus_v0.3,2023-01-14,2023-01-14 12:00:00,53.461787,10.064451,0.0,1.1,3.5900000000000003,6.496666666666667,4.69,18.00573539418684,0.6140714707038758,4.69,18.00573539418684,0.6140714707038758,0.0,1.1,3.5900000000000003
1534,elbe-river_bunthaus_v0.3,2023-01-15,2023-01-15 12:00:00,53.461787,10.064451,0.16,0.8,2.83,6.331666666666667,3.79,16.822202780208034,0.6311337712945093,3.79,16.822202780208034,0.6311337712945093,0.16,0.8,2.83
1535,elbe-river_bunthaus_v0.3,2023-01-16,2023-01-16 12:00:00,53.461787,10.064451,1.41,1.16,1.9899999999999995,5.955000000000001,4.56,18.7007874015748,0.6241909551278947,4.56,18.7007874015748,0.6241909551278947,1.41,1.16,1.9899999999999995
1536,elbe-river_bunthaus_v0.3,2023-01-17,2023-01-17 12:00:00,53.461787,10.064451,0.0,0.41,3.29,6.044999999999999,3.7,17.62418586565568,0.6717255338046821,3.7,17.62418586565568,0.6717255338046821,0.0,0.41,3.29
1537,elbe-river_bunthaus_v0.3,2023-01-18,2023-01-18 12:00:00,53.461787,10.064451,0.0,0.33,2.13,5.255,2.46,12.848741129581024,0.6543829864342078,2.46,12.848741129581024,0.6543829864342078,0.0,0.33,2.13
